iter	Passed	Remaining
390	744	1159
391	745	1156
392	746	1153
393	748	1150
394	749	1148
395	751	1145
396	752	1143
397	754	1141
398	756	1138
399	757	1136
400	758	1133
401	760	1130
402	761	1128
403	762	1125
404	764	1122
405	765	1120
406	766	1117
407	767	1114
408	769	1111
409	770	1108
410	771	1106
411	773	1103
412	774	1100
413	775	1098
414	776	1095
415	778	1092
416	779	1089
417	780	1086
418	781	1084
419	783	1081
420	784	1079
421	785	1076
422	787	1073
423	788	1071
424	789	1068
425	791	1066
426	792	1063
427	793	1060
428	795	1058
429	796	1055
430	797	1052
431	798	1050
432	800	1048
433	801	1045
434	803	1043
435	805	1042
436	806	1039
437	807	1036
438	809	1034
439	810	1031
440	811	1028
441	812	1026
442	814	1023
443	815	1021
444	816	1018
445	818	1016
446	819	1014
447	820	1011
448	822	1008
449	823	1006
450	824	1003
451	825	1001
452	827	998
453	828	996
454	829	994
455	831	991
456	832	989
457	833	986
458	835	984
459	836	981
460	837	979
461	838	976
462	840	974
463	841	972
464	842	969
465	843	967
466	845	964
467	846	962
468	848	960
469	849	958
470	850	955
471	852	953
472	853	950
473	854	948
474	856	946
475	857	943
476	858	941
477	859	939
478	861	936
479	862	934
480	863	932
481	864	929
482	866	927
483	867	924
484	868	922
485	870	920
486	871	918
487	872	915
488	874	913
489	876	912
490	877	910
491	879	908
492	881	906
493	882	903
494	883	901
495	884	899
496	886	896
497	887	894
498	888	892
499	890	890
500	891	888
501	892	885
502	894	883
503	895	881
504	896	879
505	898	877
506	899	874
507	901	872
508	902	870
509	903	868
510	905	866
511	906	864
512	908	861
513	909	859
514	910	857
515	912	855
516	913	853
517	914	851
518	916	849
519	917	847
520	919	844
521	920	842
522	921	840
523	923	838
524	924	836
525	925	834
526	927	832
527	928	830
528	930	828
529	931	825
530	932	823
531	934	821
532	935	819
533	936	817
534	938	815
535	939	813
536	940	811
537	942	809
538	943	807
539	944	804
540	946	802
541	947	800
542	949	798
543	950	796
544	951	794
545	952	792
546	954	790
547	955	788
548	956	786
549	958	784
550	959	781
551	961	779
552	962	777
553	963	775
554	965	773
555	966	771
556	967	769
557	969	767
558	970	765
559	972	763
560	973	761
561	974	759
562	976	757
563	977	755
564	978	753
565	980	751
566	981	749
567	982	747
568	984	745
569	985	743
570	987	741
571	988	739
572	990	738
573	991	736
574	993	734
575	994	732
576	996	730
577	997	728
578	999	726
579	1001	724
580	1002	722
581	1004	721
582	1005	719
583	1007	717
584	1008	715
585	1009	713
586	1011	711
587	1012	709
588	1014	707
589	1015	706
590	1017	704
591	1019	702
592	1020	700
593	1022	698
594	1023	696
595	1025	694
596	1026	693
597	1028	691
598	1030	689
599	1031	687
600	1033	685
601	1034	684
602	1036	682
603	1037	680
604	1039	678
605	1040	676
606	1042	674
607	1043	672
608	1045	671
609	1046	669
610	1048	667
611	1050	665
612	1051	664
613	1053	662
614	1054	660
615	1056	658
616	1058	656
617	1059	654
618	1060	652
619	1062	650
620	1063	649
621	1065	647
622	1066	645
623	1068	643
624	1069	641
625	1071	639
626	1072	637
627	1073	636
628	1075	634
629	1076	632
630	1078	630
631	1080	628
632	1081	627
633	1083	625
634	1084	623
635	1085	621
636	1087	619
637	1088	617
638	1089	615
639	1091	613
640	1092	612
641	1094	610
642	1095	608
643	1097	606
644	1098	604
645	1100	602
646	1101	601
647	1103	599
648	1104	597
649	1106	595
650	1107	593
651	1108	591
652	1110	590
653	1111	588
654	1113	586
655	1114	584
656	1116	582
657	1117	580
658	1118	578
659	1120	577
660	1121	575
661	1123	573
662	1124	571
663	1125	569
664	1127	567
665	1128	566
666	1130	564
667	1131	562
668	1132	560
669	1134	558
670	1135	556
671	1137	555
672	1139	553
673	1140	551
674	1142	549
675	1143	548
676	1144	546
677	1145	544
678	1147	542
679	1148	540
680	1149	538
681	1150	536
682	1152	534
683	1153	533
684	1155	531
685	1156	529
686	1158	527
687	1159	525
688	1160	523
689	1162	522
690	1163	520
691	1165	518
692	1166	516
693	1168	515
694	1169	513
695	1170	511
696	1172	509
697	1173	507
698	1175	506
699	1176	504
700	1178	502
701	1179	500
702	1180	498
703	1182	497
704	1183	495
705	1184	493
706	1186	491
707	1187	489
708	1189	488
709	1190	486
710	1191	484
711	1193	482
712	1194	480
713	1196	479
714	1198	477
715	1199	475
716	1201	474
717	1202	472
718	1204	470
719	1205	468
720	1207	467
721	1208	465
722	1210	463
723	1211	461
724	1213	460
725	1215	458
726	1216	456
727	1218	455
728	1219	453
729	1221	451
730	1222	449
731	1223	448
732	1225	446
733	1227	444
734	1228	442
735	1229	441
736	1231	439
737	1232	437
738	1234	435
739	1235	434
740	1237	432
741	1238	430
742	1239	428
743	1241	427
744	1242	425
745	1244	423
746	1245	421
747	1247	420
748	1248	418
749	1249	416
750	1251	414
751	1252	413
752	1254	411
753	1255	409
754	1256	407
755	1258	406
756	1259	404
757	1261	402
758	1262	400
759	1263	399
760	1265	397
761	1266	395
762	1268	394
763	1269	392
764	1271	390
765	1272	388
766	1274	387
767	1275	385
768	1277	383
769	1278	381
770	1279	380
771	1281	378
772	1282	376
773	1284	374
774	1285	373
775	1286	371
776	1288	369
777	1289	367
778	1290	366
779	1292	364
780	1293	362
781	1294	361
782	1296	359
783	1297	357
784	1299	355
785	1300	354
786	1301	352
787	1303	350
788	1304	348
789	1305	347
790	1307	345
791	1308	343
792	1309	341
793	1311	340
794	1312	338
795	1313	336
796	1315	334
797	1316	333
798	1317	331
799	1319	329
800	1320	328
801	1321	326
802	1323	324
803	1324	322
804	1325	321
805	1327	319
806	1328	317
807	1329	315
808	1330	314
809	1332	312
810	1333	310
811	1334	309
812	1336	307
813	1337	305
814	1338	303
815	1340	302
816	1341	300
817	1342	298
818	1344	297
819	1345	295
820	1346	293
821	1347	291
822	1349	290
823	1350	288
824	1351	286
825	1352	285
826	1354	283
827	1355	281
828	1356	279
829	1358	278
830	1359	276
831	1360	274
832	1362	273
833	1363	271
834	1365	269
835	1366	268
836	1367	266
837	1369	264
838	1370	262
839	1371	261
840	1372	259
841	1374	257
842	1375	256
843	1376	254
844	1378	252
845	1379	251
846	1380	249
847	1382	247
848	1383	246
849	1384	244
850	1386	242
851	1387	241
852	1388	239
853	1389	237
854	1391	235
855	1392	234
856	1393	232
857	1394	230
858	1396	229
859	1397	227
860	1398	225
861	1400	224
862	1401	222
863	1402	220
864	1404	219
865	1405	217
866	1406	215
867	1407	214
868	1409	212
869	1410	210
870	1411	209
871	1413	207
872	1414	205
873	1415	204
874	1416	202
875	1418	200
876	1419	199
877	1420	197
878	1422	195
879	1423	194
880	1424	192
881	1426	190
882	1427	189
883	1428	187
884	1430	185
885	1431	184
886	1432	182
887	1433	180
888	1435	179
889	1436	177
890	1438	175
891	1439	174
892	1440	172
893	1442	171
894	1443	169
895	1445	167
896	1446	166
897	1447	164
898	1449	162
899	1450	161
900	1451	159
901	1453	157
902	1454	156
903	1456	154
904	1458	153
905	1459	151
906	1460	149
907	1461	148
908	1463	146
909	1464	144
910	1466	143
911	1467	141
912	1468	139
913	1469	138
914	1471	136
915	1472	135
916	1473	133
917	1474	131
918	1476	130
919	1477	128
920	1478	126
921	1480	125
922	1481	123
923	1482	121
924	1484	120
925	1485	118
926	1486	117
927	1487	115
928	1489	113
929	1490	112
930	1491	110
931	1493	108
932	1494	107
933	1495	105
934	1496	104
935	1498	102
936	1499	100
937	1500	99
938	1501	97
939	1503	95
940	1504	94
941	1505	92
942	1506	91
943	1508	89
944	1509	87
945	1510	86
946	1512	84
947	1513	83
948	1514	81
949	1516	79
950	1517	78
951	1518	76
952	1520	74
953	1521	73
954	1522	71
955	1524	70
956	1525	68
957	1526	66
958	1528	65
959	1529	63
960	1530	62
961	1532	60
962	1533	58
963	1534	57
964	1536	55
965	1537	54
966	1538	52
967	1540	50
968	1541	49
969	1542	47
970	1544	46
971	1545	44
972	1546	42
973	1548	41
974	1549	39
975	1550	38
976	1552	36
977	1553	34
978	1554	33
979	1556	31
980	1557	30
981	1558	28
982	1560	26
983	1561	25
984	1562	23
985	1564	22
986	1565	20
987	1566	19
988	1568	17
989	1569	15
990	1570	14
991	1572	12
992	1573	11
993	1575	9
994	1576	7
995	1577	6
996	1579	4
997	1580	3
998	1581	1
999	1582	0
